,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Tiri,Dist.,Pun.,Rigori,Rig T,Stagione,Squadra
49,03-06-2023,21:00,Serie A,Giornata n. 38,Sab,Ospiti,V,2,0,Empoli,1.6,0.2,53.0,11.545,Ciro Immobile,4-3-3,Luca Massimi,Report partita,,21.0,158.0,0.0,0,0,2023,Lazio
0,13-08-2022,20:45,Serie A,Giornata n. 1,Sab,Ospiti,V,2,1,Lecce,2.1,0.7,70.0,25.353,Samir Handanovič,3-5-2,Alessandro Prontera,Report partita,,19.0,176.0,0.0,0,0,2023,Internazionale
1,20-08-2022,20:45,Serie A,Giornata n. 2,Sab,Casa,V,3,0,Spezia,2.1,0.5,54.0,71.212,Samir Handanovič,3-5-2,Davide Ghersini,Report partita,,19.0,146.0,0.0,0,0,2023,Internazionale
2,26-08-2022,20:45,Serie A,Giornata n. 3,Ven,Ospiti,P,1,3,Lazio,1.5,1.1,52.0,52.5,Samir Handanovič,3-5-2,Michael Fabbri,Report partita,,19.0,163.0,0.0,0,0,2023,Internazionale
3,30-08-2022,20:45,Serie A,Giornata n. 4,Mar,Casa,V,3,1,Cremonese,2.2,1.2,53.0,70.75,Samir Handanovič,3-5-2,Francesco Fourneau,Report partita,,18.0,154.0,1.0,0,0,2023,Internazionale
4,03-09-2022,18:00,Serie A,Giornata n. 5,Sab,Ospiti,P,2,3,Milan,1.8,1.3,53.0,75.475,Samir Handanovič,3-5-2,Daniele Chiffi,Report partita,,16.0,203.0,1.0,0,0,2023,Internazionale
6,10-09-2022,18:00,Serie A,Giornata n. 6,Sab,Casa,V,1,0,Torino,1.5,0.7,57.0,69.134,Samir Handanovič,3-5-2,Giovanni Ayroldi,Report partita,,16.0,195.0,1.0,0,0,2023,Internazionale
8,18-09-2022,12:30,Serie A,Giornata n. 7,Dom,Ospiti,P,1,3,Udinese,1.1,1.6,56.0,22.475,Samir Handanovič,3-5-2,Paolo Valeri,Report partita,,16.0,188.0,2.0,0,0,2023,Internazionale
9,01-10-2022,18:00,Serie A,Giornata n. 8,Sab,Casa,P,1,2,Roma,1.0,1.0,58.0,75.389,Samir Handanovič,3-5-2,Davide Massa,Report partita,,15.0,215.0,2.0,0,0,2023,Internazionale
11,08-10-2022,15:00,Serie A,Giornata n. 9,Sab,Ospiti,V,2,1,Sassuolo,2.3,1.2,48.0,17.574,Danilo D'Ambrosio,3-5-2,Simone Sozza,Report partita,,16.0,159.0,1.0,0,0,2023,Internazionale
13,16-10-2022,12:30,Serie A,Giornata n. 10,Dom,Casa,V,2,0,Salernitana,1.7,0.4,61.0,75.452,Milan Škriniar,3-5-2,Juan Sacchi,Report partita,,16.0,144.0,1.0,0,0,2023,Internazionale
14,22-10-2022,20:45,Serie A,Giornata n. 11,Sab,Ospiti,V,4,3,Fiorentina,2.4,1.3,42.0,36.699,Milan Škriniar,3-5-2,Paolo Valeri,Report partita,,7.0,143.0,0.0,1,1,2023,Internazionale
16,29-10-2022,20:45,Serie A,Giornata n. 12,Sab,Casa,V,3,0,Sampdoria,2.0,0.5,51.0,73.311,Milan Škriniar,3-5-2,Luca Massimi,Report partita,,17.0,144.0,1.0,0,0,2023,Internazionale
18,06-11-2022,20:45,Serie A,Giornata n. 13,Dom,Ospiti,P,0,2,Juventus,1.2,0.9,53.0,40.093,Milan Škriniar,3-5-2,Daniele Doveri,Report partita,,14.0,180.0,0.0,0,0,2023,Internazionale
19,09-11-2022,20:45,Serie A,Giornata n. 14,Mer,Casa,V,6,1,Bologna,2.6,0.7,57.0,69.312,Milan Škriniar,3-5-2,Andrea Colombo,Report partita,,12.0,146.0,1.0,1,1,2023,Internazionale
20,13-11-2022,12:30,Serie A,Giornata n. 15,Dom,Ospiti,V,3,2,Atalanta,2.2,1.8,53.0,19.353,Milan Škriniar,3-5-2,Daniele Chiffi,Report partita,,14.0,158.0,1.0,0,0,2023,Internazionale
21,04-01-2023,20:45,Serie A,Giornata n. 16,Mer,Casa,V,1,0,Napoli,1.4,0.9,36.0,75.47,Milan Škriniar,3-5-2,Simone Sozza,Report partita,,6.0,118.0,0.0,0,0,2023,Internazionale
22,07-01-2023,20:45,Serie A,Giornata n. 17,Sab,Ospiti,N,2,2,Monza,1.7,1.5,46.0,13.622,Milan Škriniar,3-5-2,Juan Sacchi,Report partita,,11.0,139.0,0.0,0,0,2023,Internazionale
24,14-01-2023,20:45,Serie A,Giornata n. 18,Sab,Casa,V,1,0,Hellas Verona,0.7,0.3,57.0,70.734,Milan Škriniar,3-5-2,Michael Fabbri,Report partita,,11.0,190.0,0.0,0,0,2023,Internazionale
26,23-01-2023,20:45,Serie A,Giornata n. 19,Lun,Casa,P,0,1,Empoli,1.4,0.8,49.0,65.476,Milan Škriniar,3-5-2,Antonio Rapuano,Report partita,,16.0,150.0,1.0,0,0,2023,Internazionale
27,28-01-2023,18:00,Serie A,Giornata n. 20,Sab,Ospiti,V,2,1,Cremonese,2.3,1.0,65.0,14.554,Lautaro Martínez,3-5-2,Maurizio Mariani,Report partita,,30.0,154.0,0.0,0,0,2023,Internazionale
29,05-02-2023,20:45,Serie A,Giornata n. 21,Dom,Casa,V,1,0,Milan,0.9,0.3,64.0,75.584,Lautaro Martínez,3-5-2,Davide Massa,Report partita,,15.0,185.0,0.0,0,0,2023,Internazionale
30,13-02-2023,20:45,Serie A,Giornata n. 22,Lun,Ospiti,N,0,0,Sampdoria,1.8,0.5,65.0,21.575,Lautaro Martínez,3-5-2,Fabio Maresca,Report partita,,25.0,180.0,1.0,0,0,2023,Internazionale
31,18-02-2023,20:45,Serie A,Giornata n. 23,Sab,Casa,V,3,1,Udinese,2.7,0.8,59.0,71.248,Samir Handanovič,3-5-2,Federico Dionisi,Report partita,,18.0,181.0,0.0,1,1,2023,Internazionale
33,26-02-2023,12:30,Serie A,Giornata n. 24,Dom,Ospiti,P,0,1,Bologna,1.0,1.2,52.0,28.317,Marcelo Brozović,3-1-4-2,Daniele Orsato,Report partita,,13.0,188.0,0.0,0,0,2023,Internazionale
34,05-03-2023,18:00,Serie A,Giornata n. 25,Dom,Casa,V,2,0,Lecce,0.8,0.6,62.0,75.033,Lautaro Martínez,3-5-2,Gianluca Manganiello,Report partita,,14.0,179.0,1.0,0,0,2023,Internazionale
35,10-03-2023,20:45,Serie A,Giornata n. 26,Ven,Ospiti,P,1,2,Spezia,3.8,1.0,69.0,11.767,Samir Handanovič,3-5-2,Livio Marinelli,Report partita,,26.0,169.0,0.0,1,2,2023,Internazionale
37,19-03-2023,20:45,Serie A,Giornata n. 27,Dom,Casa,P,0,1,Juventus,1.2,0.6,69.0,75.224,Marcelo Brozović,3-5-2,Daniele Chiffi,Report partita,,18.0,199.0,2.0,0,0,2023,Internazionale
38,01-04-2023,18:00,Serie A,Giornata n. 28,Sab,Casa,P,0,1,Fiorentina,2.8,1.1,59.0,73.576,Marcelo Brozović,3-5-2,Fabio Maresca,Report partita,,16.0,127.0,1.0,0,0,2023,Internazionale
40,07-04-2023,17:00,Serie A,Giornata n. 29,Ven,Ospiti,N,1,1,Salernitana,2.8,1.1,56.0,23.702,Stefan de Vrij,3-5-2,Michael Fabbri,Report partita,,25.0,137.0,0.0,0,0,2023,Internazionale
42,15-04-2023,20:45,Serie A,Giornata n. 30,Sab,Casa,P,0,1,Monza,2.1,0.7,56.0,74.135,Stefan de Vrij,3-5-2,Luca Pairetto,Report partita,,25.0,184.0,1.0,0,0,2023,Internazionale
44,23-04-2023,12:30,Serie A,Giornata n. 31,Dom,Ospiti,V,3,0,Empoli,1.1,0.9,60.0,15.337,Samir Handanovič,3-5-2,Livio Marinelli,Report partita,,16.0,189.0,0.0,0,0,2023,Internazionale
46,30-04-2023,12:30,Serie A,Giornata n. 32,Dom,Casa,V,3,1,Lazio,3.1,0.8,62.0,75.5,Danilo D'Ambrosio,3-5-2,Marco Guida,Report partita,,25.0,159.0,0.0,0,0,2023,Internazionale
47,03-05-2023,21:00,Serie A,Giornata n. 33,Mer,Ospiti,V,6,0,Hellas Verona,2.4,0.5,74.0,19.409,Samir Handanovič,3-5-2,Daniele Orsato,Report partita,,20.0,145.0,0.0,0,0,2023,Internazionale
48,06-05-2023,18:00,Serie A,Giornata n. 34,Sab,Ospiti,V,2,0,Roma,0.7,0.9,49.0,61.87,Marcelo Brozović,3-5-2,Fabio Maresca,Report partita,,10.0,210.0,0.0,0,0,2023,Internazionale
50,13-05-2023,20:45,Serie A,Giornata n. 35,Sab,Casa,V,4,2,Sassuolo,1.4,2.3,51.0,71.246,Samir Handanovič,3-5-2,Matteo Marcenaro,Report partita,,11.0,167.0,0.0,0,0,2023,Internazionale
52,21-05-2023,18:00,Serie A,Giornata n. 36,Dom,Ospiti,P,1,3,Napoli,0.6,1.7,30.0,50.0,Danilo D'Ambrosio,3-5-2,Livio Marinelli,Report partita,,6.0,210.0,0.0,0,0,2023,Internazionale
54,27-05-2023,20:45,Serie A,Giornata n. 37,Sab,Casa,V,3,2,Atalanta,2.8,1.0,51.0,72.192,Danilo D'Ambrosio,3-5-2,Daniele Orsato,Report partita,,20.0,189.0,2.0,0,0,2023,Internazionale
55,03-06-2023,18:30,Serie A,Giornata n. 38,Sab,Ospiti,V,1,0,Torino,1.0,1.1,59.0,24.528,Samir Handanovič,3-5-2,Michael Fabbri,Report partita,,14.0,172.0,0.0,0,0,2023,Internazionale
0,13-08-2022,18:30,Serie A,Giornata n. 1,Sab,Casa,V,4,2,Udinese,2.3,0.5,59.0,70.197,Davide Calabria,4-2-3-1,Livio Marinelli,Report partita,,13.0,196.0,2.0,1,1,2023,Milan
1,21-08-2022,20:45,Serie A,Giornata n. 2,Dom,Ospiti,N,1,1,Atalanta,1.3,0.5,60.0,19.216,Davide Calabria,4-2-3-1,Fabio Maresca,Report partita,,18.0,203.0,0.0,0,0,2023,Milan
2,27-08-2022,20:45,Serie A,Giornata n. 3,Sab,Casa,V,2,0,Bologna,1.9,0.5,48.0,70.43,Davide Calabria,4-2-3-1,Gianluca Manganiello,Report partita,,19.0,151.0,0.0,0,0,2023,Milan
3,30-08-2022,18:30,Serie A,Giornata n. 4,Mar,Ospiti,N,0,0,Sassuolo,0.7,1.1,62.0,18.053,Theo Hernández,4-2-3-1,Giovanni Ayroldi,Report partita,,11.0,188.0,1.0,0,0,2023,Milan
4,03-09-2022,18:00,Serie A,Giornata n. 5,Sab,Casa,V,3,2,Inter,1.3,1.8,47.0,75.475,Davide Calabria,4-2-3-1,Daniele Chiffi,Report partita,,21.0,167.0,1.0,0,0,2023,Milan
6,10-09-2022,20:45,Serie A,Giornata n. 6,Sab,Ospiti,V,2,1,Sampdoria,1.7,0.7,43.0,23.049,Davide Calabria,4-2-3-1,Michael Fabbri,Report partita,,14.0,151.0,0.0,1,1,2023,Milan
8,18-09-2022,20:45,Serie A,Giornata n. 7,Dom,Casa,P,1,2,Napoli,2.6,1.4,51.0,72.573,Davide Calabria,4-2-3-1,Maurizio Mariani,Report partita,,22.0,138.0,1.0,0,0,2023,Milan
9,01-10-2022,20:45,Serie A,Giornata n. 8,Sab,Ospiti,V,3,1,Empoli,2.3,1.1,57.0,15.497,Davide Calabria,4-2-3-1,Gianluca Aureliano,Report partita,,19.0,191.0,3.0,0,0,2023,Milan
11,08-10-2022,18:00,Serie A,Giornata n. 9,Sab,Casa,V,2,0,Juventus,2.2,0.8,40.0,75.53,Theo Hernández,4-3-2-1,Daniele Orsato,Report partita,,21.0,170.0,0.0,0,0,2023,Milan
13,16-10-2022,20:45,Serie A,Giornata n. 10,Dom,Ospiti,V,2,1,Hellas Verona,1.9,2.1,54.0,22.904,Theo Hernández,4-2-3-1,Davide Massa,Report partita,,16.0,197.0,0.0,0,0,2023,Milan
14,22-10-2022,18:00,Serie A,Giornata n. 11,Sab,Casa,V,4,1,Monza,1.1,1.2,49.0,72.938,Theo Hernández,4-2-3-1,Livio Marinelli,Report partita,,12.0,171.0,0.0,0,0,2023,Milan
16,30-10-2022,20:45,Serie A,Giornata n. 12,Dom,Ospiti,P,1,2,Torino,1.1,0.6,56.0,26.133,Theo Hernández,4-2-3-1,Rosario Abisso,Report partita,,12.0,209.0,1.0,0,0,2023,Milan
18,05-11-2022,20:45,Serie A,Giornata n. 13,Sab,Casa,V,2,1,Spezia,2.2,1.6,58.0,71.099,Theo Hernández,4-2-3-1,Michael Fabbri,Report partita,,23.0,171.0,1.0,0,0,2023,Milan
19,08-11-2022,20:45,Serie A,Giornata n. 14,Mar,Ospiti,N,0,0,Cremonese,1.0,0.3,71.0,14.61,Ismaël Bennacer,3-4-1-2,Antonio Rapuano,Report partita,,16.0,186.0,0.0,0,0,2023,Milan
20,13-11-2022,18:00,Serie A,Giornata n. 15,Dom,Casa,V,2,1,Fiorentina,1.5,0.5,50.0,73.007,Theo Hernández,4-2-3-1,Simone Sozza,Report partita,,12.0,209.0,0.0,0,0,2023,Milan
21,04-01-2023,12:30,Serie A,Giornata n. 16,Mer,Ospiti,V,2,1,Salernitana,2.7,0.7,56.0,29.541,Davide Calabria,4-2-3-1,Francesco Fourneau,Report partita,,16.0,167.0,1.0,0,0,2023,Milan
22,08-01-2023,20:45,Serie A,Giornata n. 17,Dom,Casa,N,2,2,Roma,0.9,1.2,60.0,74.103,Davide Calabria,4-2-3-1,Davide Massa,Report partita,,12.0,173.0,1.0,0,0,2023,Milan
24,14-01-2023,18:00,Serie A,Giornata n. 18,Sab,Ospiti,N,2,2,Lecce,1.4,1.4,65.0,25.942,Davide Calabria,4-2-3-1,Daniele Orsato,Report partita,,12.0,162.0,0.0,0,0,2023,Milan
26,24-01-2023,20:45,Serie A,Giornata n. 19,Mar,Ospiti,P,0,4,Lazio,0.7,3.1,50.0,47.0,Davide Calabria,4-2-3-1,Marco Di Bello,Report partita,,10.0,204.0,1.0,0,0,2023,Milan
27,29-01-2023,12:30,Serie A,Giornata n. 20,Dom,Casa,P,2,5,Sassuolo,0.6,2.2,60.0,70.428,Davide Calabria,4-2-3-1,Antonio Giua,Report partita,,9.0,189.0,0.0,0,0,2023,Milan
28,05-02-2023,20:45,Serie A,Giornata n. 21,Dom,Ospiti,P,0,1,Inter,0.3,0.9,36.0,75.584,Davide Calabria,3-5-2,Davide Massa,Report partita,,4.0,216.0,2.0,0,0,2023,Milan
29,10-02-2023,20:45,Serie A,Giornata n. 22,Ven,Casa,V,1,0,Torino,1.3,0.8,46.0,68.268,Theo Hernández,3-4-3,Giovanni Ayroldi,Report partita,,9.0,135.0,0.0,0,0,2023,Milan
31,18-02-2023,18:00,Serie A,Giornata n. 23,Sab,Ospiti,V,1,0,Monza,2.1,0.5,41.0,14.012,Theo Hernández,3-4-3,Antonio Rapuano,Report partita,,14.0,139.0,0.0,0,0,2023,Milan
32,26-02-2023,20:45,Serie A,Giornata n. 24,Dom,Casa,V,2,0,Atalanta,1.8,0.1,48.0,72.203,Theo Hernández,3-4-3,Maurizio Mariani,Report partita,,13.0,179.0,1.0,0,0,2023,Milan
33,04-03-2023,20:45,Serie A,Giornata n. 25,Sab,Ospiti,P,1,2,Fiorentina,0.9,2.1,52.0,40.41,Theo Hernández,3-4-3,Marco Di Bello,Report partita,,8.0,158.0,1.0,0,0,2023,Milan
35,13-03-2023,20:45,Serie A,Giornata n. 26,Lun,Casa,N,1,1,Salernitana,2.2,0.8,64.0,71.87,Theo Hernández,3-4-3,Federico La Penna,Report partita,,24.0,188.0,1.0,0,0,2023,Milan
36,18-03-2023,20:45,Serie A,Giornata n. 27,Sab,Ospiti,P,1,3,Udinese,1.5,1.8,64.0,24.992,Zlatan Ibrahimović,3-4-3,Daniele Doveri,Report partita,,9.0,217.0,1.0,1,1,2023,Milan
37,02-04-2023,20:45,Serie A,Giornata n. 28,Dom,Ospiti,V,4,0,Napoli,2.1,1.2,40.0,51.466,Davide Calabria,4-2-3-1,Antonio Rapuano,Report partita,,14.0,181.0,0.0,0,0,2023,Milan
38,07-04-2023,21:00,Serie A,Giornata n. 29,Ven,Casa,N,0,0,Empoli,1.9,0.1,70.0,70.286,Davide Calabria,4-2-3-1,Matteo Marcenaro,Report partita,,23.0,172.0,0.0,0,0,2023,Milan
40,15-04-2023,15:00,Serie A,Giornata n. 30,Sab,Ospiti,N,1,1,Bologna,1.4,0.6,49.0,29.024,Ante Rebić,4-2-3-1,Davide Massa,Report partita,,19.0,184.0,1.0,0,0,2023,Milan
42,23-04-2023,18:00,Serie A,Giornata n. 31,Dom,Casa,V,2,0,Lecce,0.8,1.2,68.0,72.614,Theo Hernández,4-2-3-1,Daniele Chiffi,Report partita,,8.0,173.0,0.0,0,0,2023,Milan
43,29-04-2023,18:00,Serie A,Giornata n. 32,Sab,Ospiti,N,1,1,Roma,1.0,1.0,63.0,64.191,Davide Calabria,4-2-3-1,Daniele Orsato,Report partita,,11.0,176.0,1.0,0,0,2023,Milan
44,03-05-2023,21:00,Serie A,Giornata n. 33,Mer,Casa,N,1,1,Cremonese,1.6,1.2,73.0,68.136,Davide Calabria,4-2-3-1,Luca Pairetto,Report partita,,18.0,183.0,1.0,0,0,2023,Milan
45,06-05-2023,15:00,Serie A,Giornata n. 34,Sab,Casa,V,2,0,Lazio,0.8,1.2,52.0,72.365,Davide Calabria,4-2-3-1,Antonio Rapuano,Report partita,,10.0,171.0,0.0,0,0,2023,Milan
47,13-05-2023,18:00,Serie A,Giornata n. 35,Sab,Ospiti,P,0,2,Spezia,1.0,1.8,59.0,11.366,Theo Hernández,4-2-3-1,Daniele Doveri,Report partita,,14.0,193.0,1.0,0,0,2023,Milan
49,20-05-2023,20:45,Serie A,Giornata n. 36,Sab,Casa,V,5,1,Sampdoria,3.8,0.6,62.0,72.105,Davide Calabria,4-2-3-1,Francesco Fourneau,Report partita,,18.0,148.0,1.0,1,1,2023,Milan
50,28-05-2023,20:45,Serie A,Giornata n. 37,Dom,Ospiti,V,1,0,Juventus,0.5,0.9,52.0,40.231,Davide Calabria,4-2-3-1,Maurizio Mariani,Report partita,,9.0,171.0,1.0,0,0,2023,Milan
51,04-06-2023,21:00,Serie A,Giornata n. 38,Dom,Casa,V,3,1,Hellas Verona,2.4,0.8,77.0,72.102,Davide Calabria,4-2-3-1,Paolo Valeri,Report partita,,13.0,214.0,1.0,1,1,2023,Milan
0,13-08-2022,18:30,Serie A,Giornata n. 1,Sab,Ospiti,V,2,0,Sampdoria,2.2,1.0,45.0,20.047,Rafael Tolói,3-4-1-2,Federico Dionisi,Report partita,,9.0,144.0,0.0,0,0,2023,Atalanta
1,21-08-2022,20:45,Serie A,Giornata n. 2,Dom,Casa,N,1,1,Milan,0.5,1.3,40.0,19.216,Rafael Tolói,3-4-3,Fabio Maresca,Report partita,,11.0,189.0,0.0,0,0,2023,Atalanta
2,28-08-2022,18:30,Serie A,Giornata n. 3,Dom,Ospiti,V,1,0,Hellas Verona,0.8,0.5,51.0,16.106,Rafael Tolói,3-4-3,Alessandro Prontera,Report partita,,15.0,189.0,0.0,0,0,2023,Atalanta
3,01-09-2022,20:45,Serie A,Giornata n. 4,Gio,Casa,V,3,1,Torino,2.9,0.4,41.0,17.928,Rafael Tolói,3-4-3,Marco Di Bello,Report partita,,10.0,188.0,0.0,2,2,2023,Atalanta
4,05-09-2022,18:30,Serie A,Giornata n. 5,Lun,Ospiti,V,2,0,Monza,1.9,0.6,41.0,11.97,Rafael Tolói,4-2-3-1,Juan Sacchi,Report partita,,13.0,152.0,0.0,0,0,2023,Atalanta
5,11-09-2022,12:30,Serie A,Giornata n. 6,Dom,Casa,N,1,1,Cremonese,0.7,0.6,58.0,18.252,Rafael Tolói,3-4-3,Andrea Colombo,Report partita,,14.0,195.0,1.0,0,0,2023,Atalanta
6,18-09-2022,18:00,Serie A,Giornata n. 7,Dom,Ospiti,V,1,0,Roma,0.2,2.4,44.0,61.335,Rafael Tolói,3-4-3,Daniele Chiffi,Report partita,,4.0,251.0,0.0,0,0,2023,Atalanta
7,02-10-2022,18:00,Serie A,Giornata n. 8,Dom,Casa,V,1,0,Fiorentina,1.3,0.7,39.0,18.265,Rafael Tolói,3-4-1-2,Massimiliano Irrati,Report partita,,10.0,155.0,1.0,0,0,2023,Atalanta
8,09-10-2022,15:00,Serie A,Giornata n. 9,Dom,Ospiti,N,2,2,Udinese,2.1,1.0,41.0,24.671,Marten de Roon,3-4-1-2,Daniele Doveri,Report partita,,8.0,185.0,2.0,1,1,2023,Atalanta
9,15-10-2022,20:45,Serie A,Giornata n. 10,Sab,Casa,V,2,1,Sassuolo,2.5,0.8,48.0,17.772,Marten de Roon,3-4-1-2,Matteo Marcenaro,Report partita,,16.0,138.0,0.0,0,0,2023,Atalanta
10,23-10-2022,18:00,Serie A,Giornata n. 11,Dom,Casa,P,0,2,Lazio,0.8,0.9,47.0,18.988,Marten de Roon,3-4-1-2,Rosario Abisso,Report partita,,7.0,141.0,0.0,0,0,2023,Atalanta
11,30-10-2022,12:30,Serie A,Giornata n. 12,Dom,Ospiti,V,2,0,Empoli,3.0,0.8,47.0,8.74,Rafael Tolói,3-5-2,Giovanni Ayroldi,Report partita,,19.0,162.0,1.0,0,1,2023,Atalanta
12,05-11-2022,18:00,Serie A,Giornata n. 13,Sab,Casa,P,1,2,Napoli,2.0,1.3,47.0,19.363,Rafael Tolói,3-4-1-2,Maurizio Mariani,Report partita,,15.0,195.0,0.0,1,1,2023,Atalanta
13,09-11-2022,18:30,Serie A,Giornata n. 14,Mer,Ospiti,P,1,2,Lecce,1.5,1.1,61.0,23.797,Marten de Roon,3-4-3,Gianluca Aureliano,Report partita,,12.0,193.0,0.0,0,0,2023,Atalanta
14,13-11-2022,12:30,Serie A,Giornata n. 15,Dom,Casa,P,2,3,Inter,1.8,2.2,47.0,19.353,Hans Hateboer,4-2-3-1,Daniele Chiffi,Report partita,,17.0,194.0,1.0,1,1,2023,Atalanta
15,04-01-2023,14:30,Serie A,Giornata n. 16,Mer,Ospiti,N,2,2,Spezia,2.1,1.5,64.0,7.417,Rafael Tolói,3-4-1-2,Antonio Giua,Report partita,,19.0,132.0,0.0,0,0,2023,Atalanta
16,09-01-2023,20:45,Serie A,Giornata n. 17,Lun,Ospiti,V,2,1,Bologna,0.5,0.5,49.0,16.953,Rafael Tolói,3-4-1-2,Marco Di Bello,Report partita,,7.0,166.0,0.0,0,0,2023,Atalanta
17,15-01-2023,18:00,Serie A,Giornata n. 18,Dom,Casa,V,8,2,Salernitana,2.9,1.0,57.0,18.499,Rafael Tolói,3-4-3,Gianluca Aureliano,Report partita,,17.0,184.0,0.0,1,2,2023,Atalanta
19,22-01-2023,20:45,Serie A,Giornata n. 19,Dom,Ospiti,N,3,3,Juventus,1.0,1.9,53.0,33.565,Rafael Tolói,3-4-3,Livio Marinelli,Report partita,,14.0,177.0,0.0,0,0,2023,Atalanta
20,28-01-2023,20:45,Serie A,Giornata n. 20,Sab,Casa,V,2,0,Sampdoria,1.8,0.8,61.0,19.095,Rafael Tolói,3-4-3,Daniele Doveri,Report partita,,21.0,148.0,1.0,0,0,2023,Atalanta
22,04-02-2023,20:45,Serie A,Giornata n. 21,Sab,Ospiti,P,0,1,Sassuolo,0.5,1.3,47.0,12.611,Rafael Tolói,3-5-2,Matteo Marcenaro,Report partita,,7.0,148.0,1.0,0,0,2023,Atalanta
23,11-02-2023,20:45,Serie A,Giornata n. 22,Sab,Ospiti,V,2,0,Lazio,2.8,0.9,40.0,41.0,Rafael Tolói,3-5-2,Daniele Orsato,Report partita,,23.0,188.0,0.0,0,0,2023,Atalanta
24,19-02-2023,12:30,Serie A,Giornata n. 23,Dom,Casa,P,1,2,Lecce,1.5,0.4,70.0,19.435,Rafael Tolói,3-4-1-2,Marco Piccinini,Report partita,,20.0,168.0,0.0,0,0,2023,Atalanta
25,26-02-2023,20:45,Serie A,Giornata n. 24,Dom,Ospiti,P,0,2,Milan,0.1,1.8,52.0,72.203,Rafael Tolói,3-5-2,Maurizio Mariani,Report partita,,3.0,281.0,1.0,0,0,2023,Atalanta
26,04-03-2023,18:00,Serie A,Giornata n. 25,Sab,Casa,N,0,0,Udinese,1.4,0.3,67.0,18.475,Rafael Tolói,3-4-3,Davide Ghersini,Report partita,,17.0,149.0,0.0,0,0,2023,Atalanta
27,11-03-2023,18:00,Serie A,Giornata n. 26,Sab,Ospiti,P,0,2,Napoli,0.3,1.3,40.0,50.601,Rafael Tolói,3-4-1-2,Andrea Colombo,Report partita,,6.0,174.0,0.0,0,0,2023,Atalanta
28,17-03-2023,20:45,Serie A,Giornata n. 27,Ven,Casa,V,2,1,Empoli,2.9,0.7,69.0,17.864,Rafael Tolói,3-4-1-2,Federico Dionisi,Report partita,,27.0,150.0,2.0,0,0,2023,Atalanta
29,01-04-2023,15:00,Serie A,Giornata n. 28,Sab,Ospiti,V,3,1,Cremonese,2.9,1.5,58.0,11.891,Rafael Tolói,3-4-3,Livio Marinelli,Report partita,,12.0,137.0,0.0,0,0,2023,Atalanta
30,08-04-2023,16:30,Serie A,Giornata n. 29,Sab,Casa,P,0,2,Bologna,1.3,1.3,49.0,18.95,Marten de Roon,3-4-1-2,Daniele Orsato,Report partita,,15.0,185.0,0.0,0,0,2023,Atalanta
31,17-04-2023,20:45,Serie A,Giornata n. 30,Lun,Ospiti,N,1,1,Fiorentina,0.5,1.9,39.0,29.628,Rafael Tolói,3-4-1-2,Marco Guida,Report partita,,6.0,127.0,0.0,0,0,2023,Atalanta
32,24-04-2023,20:45,Serie A,Giornata n. 31,Lun,Casa,V,3,1,Roma,0.9,1.0,37.0,19.445,Rafael Tolói,3-5-1-1,Massimiliano Irrati,Report partita,,7.0,160.0,1.0,0,0,2023,Atalanta
33,29-04-2023,20:45,Serie A,Giornata n. 32,Sab,Ospiti,V,2,1,Torino,0.5,0.3,38.0,20.196,Rafael Tolói,3-4-3,Juan Sacchi,Report partita,,9.0,158.0,0.0,0,0,2023,Atalanta
34,03-05-2023,18:00,Serie A,Giornata n. 33,Mer,Casa,V,3,2,Spezia,0.8,1.0,56.0,17.417,Rafael Tolói,3-4-1-2,Livio Marinelli,Report partita,,14.0,139.0,0.0,0,0,2023,Atalanta
35,07-05-2023,12:30,Serie A,Giornata n. 34,Dom,Casa,P,0,2,Juventus,1.1,1.0,59.0,19.57,Rafael Tolói,3-4-3,Daniele Doveri,Report partita,,24.0,215.0,0.0,0,0,2023,Atalanta
36,13-05-2023,15:00,Serie A,Giornata n. 35,Sab,Ospiti,P,0,1,Salernitana,1.2,0.5,48.0,17.4,Rafael Tolói,3-4-3,Marco Piccinini,Report partita,,13.0,160.0,0.0,0,0,2023,Atalanta
37,20-05-2023,18:00,Serie A,Giornata n. 36,Sab,Casa,V,3,1,Hellas Verona,1.4,0.9,60.0,9.297,Rafael Tolói,3-4-3,Simone Sozza,Report partita,,13.0,170.0,0.0,0,0,2023,Atalanta
38,27-05-2023,20:45,Serie A,Giornata n. 37,Sab,Ospiti,P,2,3,Inter,1.0,2.8,49.0,72.192,Rafael Tolói,3-4-3,Daniele Orsato,Report partita,,12.0,185.0,1.0,0,0,2023,Atalanta
39,04-06-2023,21:00,Serie A,Giornata n. 38,Dom,Casa,V,5,2,Monza,4.0,1.2,39.0,19.389,Rafael Tolói,3-4-3,Marco Di Bello,Report partita,,20.0,160.0,0.0,0,0,2023,Atalanta
0,14-08-2022,20:45,Serie A,Giornata n. 1,Dom,Ospiti,V,1,0,Salernitana,2.4,0.6,49.0,26.006,Lorenzo Pellegrini,3-4-3,Simone Sozza,Report partita,,20.0,147.0,2.0,0,0,2023,Roma
